Scheme Name	Net Asset Value
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1404
HSBC Banking and PSU Debt Fund - Direct Growth	25.595
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4087
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.329
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.0641
HSBC Banking and PSU Debt Fund - Regular Growth	24.3008
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6815
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3006
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.1812
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0983
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.7935
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0913
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1045.2324
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2430.5831
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1058.4551
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1006.8138
Invesco India Banking and PSU Fund - Growth Option	2270.4565
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1057.3406
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3817
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3828
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.0419
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.0430
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.5819
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3213
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.3257
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.248
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2435
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.654
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.181
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0337
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2321
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.9175
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0683
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.363
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.2727
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.2681
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	12.9833
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	12.9844
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.6015
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.6014
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.8172
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.6014
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7372
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.8165
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.4492
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.8172
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.6697
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.7586
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.4495
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1462.8683
SBI BANKING & PSU FUND - Direct Plan - Growth	3321.1334
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1311.1752
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1459.6212
SBI BANKING & PSU FUND - Regular Paln - Growth	3125.5048
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1425.9421
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1230.0848
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1425.5986
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8856
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.7476
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.6844
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7524
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.1362
